scenario_id,mechanism,scenario_class,target_absent,tool,context,flagset,grade,evidence,validation_status,note
privesc2-SetExistingDefaultPolicyVersion--role,privesc2-SetExistingDefaultPolicyVersion,privesc,yes,cloudfox,admin,default,P,raw-output/cloudfox/admin-default-2026-08-31/cloudfox-outdir/cloudfox-output/aws/personal-000000000000/csv/permissions.csv,validated,"Rubric 3 P / 4.1: permissions.csv binds the enabling permission to this specific principal (1 grant row(s): Allow iam:SetDefaultPolicyVersion) but names no target and does not characterise it as escalation. Search: grep ',privesc2-SetExistingDefaultPolicyVersion-role,' csv/permissions.csv. Validation: analysis/validation/privesc2-SetExistingDefaultPolicyVersion--role.md."
privesc2-SetExistingDefaultPolicyVersion--role,privesc2-SetExistingDefaultPolicyVersion,privesc,yes,cloudfox-path,admin,default,N/A,raw-output/cloudfox/admin-default-2026-08-31/cloudfox-outdir/cloudfox-output/aws/personal-000000000000/csv/principals.csv,validated,"Rubric 4.9. cloudfox's CanPrivEscToAdmin? column reads 'Skipping, no pmapper data' in every one of its 140 instances this run (94 principals + 44 role-trusts + 1 root-trust + 1 workload). cloudfox documents that it delegates path enumeration to PMapper: 'Cloudfox will not install or run pmapper for you, but because pmapper stores it's graph data in a predictable location, this CloudFox command will look to see if that data exists, and if it does, it give you a list of all of the principals that pmapper thinks can escalate to admin.' -- https://github.com/BishopFox/cloudfox/wiki/AWS-Commands#pmapper ; quoted and sourced in raw-output/cloudfox/admin-default-2026-08-31/run-metadata.md. Recorded, NOT scored as a miss. cloudfox's own surfaces are graded on the 'cloudfox' rows above."
privesc2-SetExistingDefaultPolicyVersion--user,privesc2-SetExistingDefaultPolicyVersion,privesc,yes,pmapper,admin,default,M,raw-output/pmapper/admin-default-2026-08-31/output/01-graph-create.stderr.txt,validated,"Crash-M per rubric 4.7, tally separately from detection-Ms: 'graph create' terminated on an unhandled botocore ConnectTimeoutError (autoscaling_edges.py catches ClientError only) and no graph was written; all 7 downstream commands failed. No principal was evaluated. Validation: analysis/validation/privesc2-SetExistingDefaultPolicyVersion--role.md."
privesc2-SetExistingDefaultPolicyVersion--user,privesc2-SetExistingDefaultPolicyVersion,privesc,yes,pmapper,admin,"flagged (--include-regions, 17 opted-in regions)",M,raw-output/pmapper/admin-flagged-2026-08-31/output/04-query-preset-privesc.txt,validated,Absent from 04-query-preset-privesc.txt and from 06-analysis-text.txt (exact-string search on the principal ARN suffix). Validation: analysis/validation/privesc2-SetExistingDefaultPolicyVersion--role.md.
privesc2-SetExistingDefaultPolicyVersion--user,privesc2-SetExistingDefaultPolicyVersion,privesc,yes,cloudfox,admin,default,P,raw-output/cloudfox/admin-default-2026-08-31/cloudfox-outdir/cloudfox-output/aws/personal-000000000000/csv/permissions.csv,validated,"Rubric 3 P / 4.1: permissions.csv binds the enabling permission to this specific principal (1 grant row(s): Allow iam:SetDefaultPolicyVersion) but names no target and does not characterise it as escalation. Search: grep ',privesc2-SetExistingDefaultPolicyVersion-user,' csv/permissions.csv. Validation: analysis/validation/privesc2-SetExistingDefaultPolicyVersion--role.md."
privesc2-SetExistingDefaultPolicyVersion--user,privesc2-SetExistingDefaultPolicyVersion,privesc,yes,cloudfox-path,admin,default,N/A,raw-output/cloudfox/admin-default-2026-08-31/cloudfox-outdir/cloudfox-output/aws/personal-000000000000/csv/principals.csv,validated,"Rubric 4.9. cloudfox's CanPrivEscToAdmin? column reads 'Skipping, no pmapper data' in every one of its 140 instances this run (94 principals + 44 role-trusts + 1 root-trust + 1 workload). cloudfox documents that it delegates path enumeration to PMapper: 'Cloudfox will not install or run pmapper for you, but because pmapper stores it's graph data in a predictable location, this CloudFox command will look to see if that data exists, and if it does, it give you a list of all of the principals that pmapper thinks can escalate to admin.' -- https://github.com/BishopFox/cloudfox/wiki/AWS-Commands#pmapper ; quoted and sourced in raw-output/cloudfox/admin-default-2026-08-31/run-metadata.md. Recorded, NOT scored as a miss. cloudfox's own surfaces are graded on the 'cloudfox' rows above."
privesc3-CreateEC2WithExistingInstanceProfile--role,privesc3-CreateEC2WithExistingInstanceProfile,privesc,no,pmapper,admin,default,M,raw-output/pmapper/admin-default-2026-08-31/output/01-graph-create.stderr.txt,validated,"Crash-M per rubric 4.7, tally separately from detection-Ms: 'graph create' terminated on an unhandled botocore ConnectTimeoutError (autoscaling_edges.py catches ClientError only) and no graph was written; all 7 downstream commands failed. No principal was evaluated."
privesc3-CreateEC2WithExistingInstanceProfile--role,privesc3-CreateEC2WithExistingInstanceProfile,privesc,no,pmapper,admin,"flagged (--include-regions, 17 opted-in regions)",D,raw-output/pmapper/admin-flagged-2026-08-31/output/04-query-preset-privesc.txt,validated,"preset privesc names principal, mechanism and administrative target: ""role/privesc3-CreateEC2WithExistingInstanceProfile-role can use EC2 to run an instance with an existing instance profile to access role/privesc-high-priv-service-role""."
privesc3-CreateEC2WithExistingInstanceProfile--role,privesc3-CreateEC2WithExistingInstanceProfile,privesc,no,cloudfox,admin,default,P,raw-output/cloudfox/admin-default-2026-08-31/cloudfox-outdir/cloudfox-output/aws/personal-000000000000/csv/permissions.csv,validated,"Rubric 3 P / 4.1: permissions.csv binds the enabling permission to this specific principal (5 grant row(s): Allow iam:PassRole; Allow ec2:DescribeInstances; Allow ec2:RunInstances; Allow ec2:CreateKeyPair ...) but names no target and does not characterise it as escalation. Search: grep ',privesc3-CreateEC2WithExistingInstanceProfile-role,' csv/permissions.csv. iam-simulator additionally reports: can iam:PassRole on *."
privesc3-CreateEC2WithExistingInstanceProfile--role,privesc3-CreateEC2WithExistingInstanceProfile,privesc,no,cloudfox-path,admin,default,N/A,raw-output/cloudfox/admin-default-2026-08-31/cloudfox-outdir/cloudfox-output/aws/personal-000000000000/csv/principals.csv,validated,"Rubric 4.9. cloudfox's CanPrivEscToAdmin? column reads 'Skipping, no pmapper data' in every one of its 140 instances this run (94 principals + 44 role-trusts + 1 root-trust + 1 workload). cloudfox documents that it delegates path enumeration to PMapper: 'Cloudfox will not install or run pmapper for you, but because pmapper stores it's graph data in a predictable location, this CloudFox command will look to see if that data exists, and if it does, it give you a list of all of the principals that pmapper thinks can escalate to admin.' -- https://github.com/BishopFox/cloudfox/wiki/AWS-Commands#pmapper ; quoted and sourced in raw-output/cloudfox/admin-default-2026-08-31/run-metadata.md. Recorded, NOT scored as a miss. cloudfox's own surfaces are graded on the 'cloudfox' rows above."
privesc3-CreateEC2WithExistingInstanceProfile--user,privesc3-CreateEC2WithExistingInstanceProfile,privesc,no,pmapper,admin,default,M,raw-output/pmapper/admin-default-2026-08-31/output/01-graph-create.stderr.txt,validated,"Crash-M per rubric 4.7, tally separately from detection-Ms: 'graph create' terminated on an unhandled botocore ConnectTimeoutError (autoscaling_edges.py catches ClientError only) and no graph was written; all 7 downstream commands failed. No principal was evaluated."
privesc3-CreateEC2WithExistingInstanceProfile--user,privesc3-CreateEC2WithExistingInstanceProfile,privesc,no,pmapper,admin,"flagged (--include-regions, 17 opted-in regions)",D,raw-output/pmapper/admin-flagged-2026-08-31/output/04-query-preset-privesc.txt,validated,"preset privesc names principal, mechanism and administrative target: ""user/privesc3-CreateEC2WithExistingInstanceProfile-user can use EC2 to run an instance with an existing instance profile to access role/privesc-high-priv-service-role""."
privesc3-CreateEC2WithExistingInstanceProfile--user,privesc3-CreateEC2WithExistingInstanceProfile,privesc,no,cloudfox,admin,default,P,raw-output/cloudfox/admin-default-2026-08-31/cloudfox-outdir/cloudfox-output/aws/personal-000000000000/csv/permissions.csv,validated,"Rubric 3 P / 4.1: permissions.csv binds the enabling permission to this specific principal (5 grant row(s): Allow iam:PassRole; Allow ec2:DescribeInstances; Allow ec2:RunInstances; Allow ec2:CreateKeyPair ...) but names no target and does not characterise it as escalation. Search: grep ',privesc3-CreateEC2WithExistingInstanceProfile-user,' csv/permissions.csv. iam-simulator additionally reports: can iam:PassRole on *."
privesc3-CreateEC2WithExistingInstanceProfile--user,privesc3-CreateEC2WithExistingInstanceProfile,privesc,no,cloudfox-path,admin,default,N/A,raw-output/cloudfox/admin-default-2026-08-31/cloudfox-outdir/cloudfox-output/aws/personal-000000000000/csv/principals.csv,validated,"Rubric 4.9. cloudfox's CanPrivEscToAdmin? column reads 'Skipping, no pmapper data' in every one of its 140 instances this run (94 principals + 44 role-trusts + 1 root-trust + 1 workload). cloudfox documents that it delegates path enumeration to PMapper: 'Cloudfox will not install or run pmapper for you, but because pmapper stores it's graph data in a predictable location, this CloudFox command will look to see if that data exists, and if it does, it give you a list of all of the principals that pmapper thinks can escalate to admin.' -- https://github.com/BishopFox/cloudfox/wiki/AWS-Commands#pmapper ; quoted and sourced in raw-output/cloudfox/admin-default-2026-08-31/run-metadata.md. Recorded, NOT scored as a miss. cloudfox's own surfaces are graded on the 'cloudfox' rows above."
privesc4-CreateAccessKey--role,privesc4-CreateAccessKey,privesc,no,pmapper,admin,default,M,raw-output/pmapper/admin-default-2026-08-31/output/01-graph-create.stderr.txt,validated,"Crash-M per rubric 4.7, tally separately from detection-Ms: 'graph create' terminated on an unhandled botocore ConnectTimeoutError (autoscaling_edges.py catches ClientError only) and no graph was written; all 7 downstream commands failed. No principal was evaluated. Validation: analysis/validation/privesc4-CreateAccessKey--role.md."
privesc4-CreateAccessKey--role,privesc4-CreateAccessKey,privesc,no,pmapper,admin,"flagged (--include-regions, 17 opted-in regions)",D,raw-output/pmapper/admin-flagged-2026-08-31/output/04-query-preset-privesc.txt,validated,"preset privesc names principal, mechanism and administrative target: ""role/privesc4-CreateAccessKey-role can create access keys to authenticate as user/fn2-exploitableResourceConstraint-user""."
privesc4-CreateAccessKey--role,privesc4-CreateAccessKey,privesc,no,cloudfox,admin,default,P,raw-output/cloudfox/admin-default-2026-08-31/cloudfox-outdir/cloudfox-output/aws/personal-000000000000/csv/permissions.csv,validated,"Rubric 3 P / 4.1: permissions.csv binds the enabling permission to this specific principal (1 grant row(s): Allow iam:CreateAccessKey) but names no target and does not characterise it as escalation. Search: grep ',privesc4-CreateAccessKey-role,' csv/permissions.csv. Validation: analysis/validation/privesc4-CreateAccessKey--role.md."
privesc4-CreateAccessKey--role,privesc4-CreateAccessKey,privesc,no,cloudfox-path,admin,default,N/A,raw-output/cloudfox/admin-default-2026-08-31/cloudfox-outdir/cloudfox-output/aws/personal-000000000000/csv/principals.csv,validated,"Rubric 4.9. cloudfox's CanPrivEscToAdmin? column reads 'Skipping, no pmapper data' in every one of its 140 instances this run (94 principals + 44 role-trusts + 1 root-trust + 1 workload). cloudfox documents that it delegates path enumeration to PMapper: 'Cloudfox will not install or run pmapper for you, but because pmapper stores it's graph data in a predictable location, this CloudFox command will look to see if that data exists, and if it does, it give you a list of all of the principals that pmapper thinks can escalate to admin.' -- https://github.com/BishopFox/cloudfox/wiki/AWS-Commands#pmapper ; quoted and sourced in raw-output/cloudfox/admin-default-2026-08-31/run-metadata.md. Recorded, NOT scored as a miss. cloudfox's own surfaces are graded on the 'cloudfox' rows above."
privesc4-CreateAccessKey--user,privesc4-CreateAccessKey,privesc,no,pmapper,admin,default,M,raw-output/pmapper/admin-default-2026-08-31/output/01-graph-create.stderr.txt,validated,"Crash-M per rubric 4.7, tally separately from detection-Ms: 'graph create' terminated on an unhandled botocore ConnectTimeoutError (autoscaling_edges.py catches ClientError only) and no graph was written; all 7 downstream commands failed. No principal was evaluated."
privesc4-CreateAccessKey--user,privesc4-CreateAccessKey,privesc,no,pmapper,admin,"flagged (--include-regions, 17 opted-in regions)",D,raw-output/pmapper/admin-flagged-2026-08-31/output/04-query-preset-privesc.txt,validated,"preset privesc names principal, mechanism and administrative target: ""user/privesc4-CreateAccessKey-user can create access keys to authenticate as user/fn2-exploitableResourceConstraint-user""."
privesc4-CreateAccessKey--user,privesc4-CreateAccessKey,privesc,no,cloudfox,admin,default,P,raw-output/cloudfox/admin-default-2026-08-31/cloudfox-outdir/cloudfox-output/aws/personal-000000000000/csv/permissions.csv,validated,"Rubric 3 P / 4.1: permissions.csv binds the enabling permission to this specific principal (1 grant row(s): Allow iam:CreateAccessKey) but names no target and does not characterise it as escalation. Search: grep ',privesc4-CreateAccessKey-user,' csv/permissions.csv."
privesc4-CreateAccessKey--user,privesc4-CreateAccessKey,privesc,no,cloudfox-path,admin,default,N/A,raw-output/cloudfox/admin-default-2026-08-31/cloudfox-outdir/cloudfox-output/aws/personal-000000000000/csv/principals.csv,validated,"Rubric 4.9. cloudfox's CanPrivEscToAdmin? column reads 'Skipping, no pmapper data' in every one of its 140 instances this run (94 principals + 44 role-trusts + 1 root-trust + 1 workload). cloudfox documents that it delegates path enumeration to PMapper: 'Cloudfox will not install or run pmapper for you, but because pmapper stores it's graph data in a predictable location, this CloudFox command will look to see if that data exists, and if it does, it give you a list of all of the principals that pmapper thinks can escalate to admin.' -- https://github.com/BishopFox/cloudfox/wiki/AWS-Commands#pmapper ; quoted and sourced in raw-output/cloudfox/admin-default-2026-08-31/run-metadata.md. Recorded, NOT scored as a miss. cloudfox's own surfaces are graded on the 'cloudfox' rows above."
privesc5-CreateLoginProfile--role,privesc5-CreateLoginProfile,privesc,no,pmapper,admin,default,M,raw-output/pmapper/admin-default-2026-08-31/output/01-graph-create.stderr.txt,validated,"Crash-M per rubric 4.7, tally separately from detection-Ms: 'graph create' terminated on an unhandled botocore ConnectTimeoutError (autoscaling_edges.py catches ClientError only) and no graph was written; all 7 downstream commands failed. No principal was evaluated."
privesc5-CreateLoginProfile--role,privesc5-CreateLoginProfile,privesc,no,pmapper,admin,"flagged (--include-regions, 17 opted-in regions)",D,raw-output/pmapper/admin-flagged-2026-08-31/output/04-query-preset-privesc.txt,validated,"preset privesc names principal, mechanism and administrative target: ""role/privesc5-CreateLoginProfile-role can set the password to authenticate as user/fn2-exploitableResourceConstraint-user""."
privesc5-CreateLoginProfile--role,privesc5-CreateLoginProfile,privesc,no,cloudfox,admin,default,P,raw-output/cloudfox/admin-default-2026-08-31/cloudfox-outdir/cloudfox-output/aws/personal-000000000000/csv/permissions.csv,validated,"Rubric 3 P / 4.1: permissions.csv binds the enabling permission to this specific principal (1 grant row(s): Allow iam:CreateLoginProfile) but names no target and does not characterise it as escalation. Search: grep ',privesc5-CreateLoginProfile-role,' csv/permissions.csv."
privesc5-CreateLoginProfile--role,privesc5-CreateLoginProfile,privesc,no,cloudfox-path,admin,default,N/A,raw-output/cloudfox/admin-default-2026-08-31/cloudfox-outdir/cloudfox-output/aws/personal-000000000000/csv/principals.csv,validated,"Rubric 4.9. cloudfox's CanPrivEscToAdmin? column reads 'Skipping, no pmapper data' in every one of its 140 instances this run (94 principals + 44 role-trusts + 1 root-trust + 1 workload). cloudfox documents that it delegates path enumeration to PMapper: 'Cloudfox will not install or run pmapper for you, but because pmapper stores it's graph data in a predictable location, this CloudFox command will look to see if that data exists, and if it does, it give you a list of all of the principals that pmapper thinks can escalate to admin.' -- https://github.com/BishopFox/cloudfox/wiki/AWS-Commands#pmapper ; quoted and sourced in raw-output/cloudfox/admin-default-2026-08-31/run-metadata.md. Recorded, NOT scored as a miss. cloudfox's own surfaces are graded on the 'cloudfox' rows above."
privesc5-CreateLoginProfile--user,privesc5-CreateLoginProfile,privesc,no,pmapper,admin,default,M,raw-output/pmapper/admin-default-2026-08-31/output/01-graph-create.stderr.txt,validated,"Crash-M per rubric 4.7, tally separately from detection-Ms: 'graph create' terminated on an unhandled botocore ConnectTimeoutError (autoscaling_edges.py catches ClientError only) and no graph was written; all 7 downstream commands failed. No principal was evaluated."
privesc5-CreateLoginProfile--user,privesc5-CreateLoginProfile,privesc,no,pmapper,admin,"flagged (--include-regions, 17 opted-in regions)",D,raw-output/pmapper/admin-flagged-2026-08-31/output/04-query-preset-privesc.txt,validated,"preset privesc names principal, mechanism and administrative target: ""user/privesc5-CreateLoginProfile-user can set the password to authenticate as user/fn2-exploitableResourceConstraint-user""."
privesc5-CreateLoginProfile--user,privesc5-CreateLoginProfile,privesc,no,cloudfox,admin,default,P,raw-output/cloudfox/admin-default-2026-08-31/cloudfox-outdir/cloudfox-output/aws/personal-000000000000/csv/permissions.csv,validated,"Rubric 3 P / 4.1: permissions.csv binds the enabling permission to this specific principal (1 grant row(s): Allow iam:CreateLoginProfile) but names no target and does not characterise it as escalation. Search: grep ',privesc5-CreateLoginProfile-user,' csv/permissions.csv."
privesc5-CreateLoginProfile--user,privesc5-CreateLoginProfile,privesc,no,cloudfox-path,admin,default,N/A,raw-output/cloudfox/admin-default-2026-08-31/cloudfox-outdir/cloudfox-output/aws/personal-000000000000/csv/principals.csv,validated,"Rubric 4.9. cloudfox's CanPrivEscToAdmin? column reads 'Skipping, no pmapper data' in every one of its 140 instances this run (94 principals + 44 role-trusts + 1 root-trust + 1 workload). cloudfox documents that it delegates path enumeration to PMapper: 'Cloudfox will not install or run pmapper for you, but because pmapper stores it's graph data in a predictable location, this CloudFox command will look to see if that data exists, and if it does, it give you a list of all of the principals that pmapper thinks can escalate to admin.' -- https://github.com/BishopFox/cloudfox/wiki/AWS-Commands#pmapper ; quoted and sourced in raw-output/cloudfox/admin-default-2026-08-31/run-metadata.md. Recorded, NOT scored as a miss. cloudfox's own surfaces are graded on the 'cloudfox' rows above."
privesc6-UpdateLoginProfile--role,privesc6-UpdateLoginProfile,privesc,no,pmapper,admin,default,M,raw-output/pmapper/admin-default-2026-08-31/output/01-graph-create.stderr.txt,validated,"Crash-M per rubric 4.7, tally separately from detection-Ms: 'graph create' terminated on an unhandled botocore ConnectTimeoutError (autoscaling_edges.py catches ClientError only) and no graph was written; all 7 downstream commands failed. No principal was evaluated."
privesc6-UpdateLoginProfile--role,privesc6-UpdateLoginProfile,privesc,no,pmapper,admin,"flagged (--include-regions, 17 opted-in regions)",D,raw-output/pmapper/admin-flagged-2026-08-31/output/04-query-preset-privesc.txt,validated,"preset privesc names principal, mechanism and administrative target: ""role/privesc6-UpdateLoginProfile-role can set the password to authenticate as user/iamadmin""."
privesc6-UpdateLoginProfile--role,privesc6-UpdateLoginProfile,privesc,no,cloudfox,admin,default,P,raw-output/cloudfox/admin-default-2026-08-31/cloudfox-outdir/cloudfox-output/aws/personal-000000000000/csv/permissions.csv,validated,"Rubric 3 P / 4.1: permissions.csv binds the enabling permission to this specific principal (1 grant row(s): Allow iam:UpdateLoginProfile) but names no target and does not characterise it as escalation. Search: grep ',privesc6-UpdateLoginProfile-role,' csv/permissions.csv."
privesc6-UpdateLoginProfile--role,privesc6-UpdateLoginProfile,privesc,no,cloudfox-path,admin,default,N/A,raw-output/cloudfox/admin-default-2026-08-31/cloudfox-outdir/cloudfox-output/aws/personal-000000000000/csv/principals.csv,validated,"Rubric 4.9. cloudfox's CanPrivEscToAdmin? column reads 'Skipping, no pmapper data' in every one of its 140 instances this run (94 principals + 44 role-trusts + 1 root-trust + 1 workload). cloudfox documents that it delegates path enumeration to PMapper: 'Cloudfox will not install or run pmapper for you, but because pmapper stores it's graph data in a predictable location, this CloudFox command will look to see if that data exists, and if it does, it give you a list of all of the principals that pmapper thinks can escalate to admin.' -- https://github.com/BishopFox/cloudfox/wiki/AWS-Commands#pmapper ; quoted and sourced in raw-output/cloudfox/admin-default-2026-08-31/run-metadata.md. Recorded, NOT scored as a miss. cloudfox's own surfaces are graded on the 'cloudfox' rows above."
privesc6-UpdateLoginProfile--user,privesc6-UpdateLoginProfile,privesc,no,pmapper,admin,default,M,raw-output/pmapper/admin-default-2026-08-31/output/01-graph-create.stderr.txt,validated,"Crash-M per rubric 4.7, tally separately from detection-Ms: 'graph create' terminated on an unhandled botocore ConnectTimeoutError (autoscaling_edges.py catches ClientError only) and no graph was written; all 7 downstream commands failed. No principal was evaluated."
privesc6-UpdateLoginProfile--user,privesc6-UpdateLoginProfile,privesc,no,pmapper,admin,"flagged (--include-regions, 17 opted-in regions)",D,raw-output/pmapper/admin-flagged-2026-08-31/output/04-query-preset-privesc.txt,validated,"preset privesc names principal, mechanism and administrative target: ""user/privesc6-UpdateLoginProfile-user can set the password to authenticate as user/iamadmin""."
privesc6-UpdateLoginProfile--user,privesc6-UpdateLoginProfile,privesc,no,cloudfox,admin,default,M,raw-output/cloudfox/admin-default-2026-08-31/cloudfox-logs/cloudfox-error.log,validated,"Crash-M per rubric 4.7 (tally separately): cloudfox's iam-simulator module gave up on this principal after 3 retries of 'IAM: SimulatePrincipalPolicy ... Throttling: Rate exceeded' (Failed to query actions). The failure is invisible in the output surface: the principal still prints with IsAdminRole?=No, indistinguishable from a negative result. Without rubric 4.7 this cell would be P: permissions.csv does bind the enabling permission to the principal. Rubric 4.6 also points down."
privesc6-UpdateLoginProfile--user,privesc6-UpdateLoginProfile,privesc,no,cloudfox-path,admin,default,N/A,raw-output/cloudfox/admin-default-2026-08-31/cloudfox-outdir/cloudfox-output/aws/personal-000000000000/csv/principals.csv,validated,"Rubric 4.9. cloudfox's CanPrivEscToAdmin? column reads 'Skipping, no pmapper data' in every one of its 140 instances this run (94 principals + 44 role-trusts + 1 root-trust + 1 workload). cloudfox documents that it delegates path enumeration to PMapper: 'Cloudfox will not install or run pmapper for you, but because pmapper stores it's graph data in a predictable location, this CloudFox command will look to see if that data exists, and if it does, it give you a list of all of the principals that pmapper thinks can escalate to admin.' -- https://github.com/BishopFox/cloudfox/wiki/AWS-Commands#pmapper ; quoted and sourced in raw-output/cloudfox/admin-default-2026-08-31/run-metadata.md. Recorded, NOT scored as a miss. cloudfox's own surfaces are graded on the 'cloudfox' rows above."
privesc7-AttachUserPolicy--role,privesc7-AttachUserPolicy,non-path,no,pmapper,admin,default,M,raw-output/pmapper/admin-default-2026-08-31/output/01-graph-create.stderr.txt,validated,"Crash-M per rubric 4.7. NOT CS: the rubric 9 amendment of 2026-08-31 requires a tool to have RUN AND PRODUCED OUTPUT to earn Correctly Silent, and this run produced none - 'graph create' died on an unhandled ConnectTimeoutError. Silence from a tool that never ran is vacuous, not correct behaviour. Counted in the crash-M tally, not in any CS total. Validation: analysis/validation/privesc7-AttachUserPolicy--role.md."
